burn,block,amendment,co2,ch4,date
Burn,a,carbon,1.273036231,0.00523268,7/19/20
Burn,a,control,0.275797212,0.056429097,7/19/20
Burn,b,carbon,0.65033538,0.002224636,7/19/20
Burn,b,control ,1.897701601,0.035227713,7/19/20
Burn,c,carbon,0.499224024,0.002307661,7/19/20
Burn,c,control,3.526510153,0.094640176,7/19/20
Unburn,d,carbon,1.208233272,0.021405708,7/19/20
Unburn,d,control,0.384147305,0.007430315,7/19/20
Unburn,e,carbon,0.390386437,0.001473156,7/19/20
Unburn,e,control ,0.684231131,0.000736524,7/19/20
Unburn,f,carbon,0.704126065,0.023700226,7/19/20
Unburn,f,control,0.961490202,0.017225394,7/19/20
